ops,nodes,,seq,speedup
small,1,0.08,0.08,1.0526315789
small,2,0.05,0.08,1.57
small,4,0.05,0.08,1.6326530612
small,6,0.05,0.08,1.4814814815
small,8,0.05,0.08,1.6326530612
small,10,0.05,0.08,1.6
small,12,0.06,0.08,1.3793103448
medium,1,1.096,1.142,1.0419708029
medium,2,0.869,1.142,1.3141542002
medium,4,0.838,1.142,1.3627684964
medium,6,0.804,1.142,1.42039801
medium,8,0.814,1.142,1.4029484029
medium,10,0.862,1.142,1.3248259861
medium,12,0.946,1.142,1.2071881607
large,1,142.644,145.049,1.0168601554
large,2,118.402,145.049,1.22505532
large,4,106.955,145.049,1.3561684821
large,6,107.169,145.049,1.3534604223
large,8,110.149,145.049,1.3168435483
large,10,107.168,145.049,1.3534730517
large,12,108.187,145.049,1.340724856
test,1,0.04,0.05,1.3611111111
test,2,0.03,0.05,1.4848484848
test,4,0.03,0.05,1.4848484848
test,6,0.03,0.05,1.4411764706
test,8,0.03,0.05,1.53125
test,10,0.03,0.05,1.6333333333
test,12,0.03,0.05,1.5806451613
